ROL3,Language,Status,NbrPGICs,NbrCountries,JPScale,LeastReached,JPPopulation,BibleStatus,TranslationNeedQuestionable,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID,RLG3,PrimaryReligion,PercentAdherents,PercentEvangelical
kfm,Khunsari,L,1,1,1,Y,25400,1,N,,,,N,Y,,6,Islam,0,0
khv,Khvarshi,L,1,1,1,Y,4090,1,N,,,,N,N,,6,Islam,0,0
xuu,Khwe,L,5,5,5,N,9260,2,N,,,2010,Y,Y,,4,Ethnic Religions,19.44,12.45
ckl,Kibaku,L,1,1,5,N,190000,1,N,,,,N,Y,,1,Christianity,78,12
kie,Kibet,L,1,1,1,Y,67100,1,N,,,,N,Y,,6,Islam,0,0
prm,Kibiri,L,1,1,5,N,1340,1,N,,,,N,Y,,1,Christianity,90,24
kic,Kickapoo,L,2,2,4,N,1580,1,N,,,,N,Y,,1,Christianity,84.21,3.56
ebu,Kiembu,L,2,1,5,N,569000,1,N,,,,Y,Y,,1,Christianity,74.16,36.38
nyf,Kigiryama,L,6,1,5,N,1131000,4,N,1901,1901-2004,1848-1999,Y,Y,,1,Christianity,76.49,39.88
kzg,Kikai,L,1,1,1,Y,13000,0,Y,,,,N,N,,2,Buddhism,3,0.72
kij,Kilivila,L,1,1,5,N,29800,4,N,2011,1985,1908-1997,N,Y,,1,Christianity,97,17
klb,Kiliwa,N,1,1,4,N,40,0,Y,,,,N,Y,,1,Christianity,90,7
kih,Kilmeri,L,1,1,5,N,2660,2,Y,,,1980,N,Y,,1,Christianity,80,16
kia,Kim,L,1,1,5,N,42100,3,N,,1955,1948,N,Y,1022,1,Christianity,62,30
mji,Kim Mun,L,3,3,1,Y,540000,1,N,,,,N,Y,,4,Ethnic Religions,0.51,0.08
kig,Kimaghima,L,1,1,4,N,4650,1,N,,,,N,N,,1,Christianity,65,4
kqr,Kimaragang,L,2,1,4,N,28500,2,N,,,1996,N,N,,1,Christianity,51.03,3.42
kiv,Kimbu,L,1,1,5,N,180000,1,N,,,,N,N,,1,Christianity,75,13
kmb,Kimbundu,L,2,2,5,N,6074000,4,Y,1980,1922,1888-1936,Y,Y,,1,Christianity,97.29,19.95
mer,Kimiiru,L,1,1,5,N,1917000,4,N,1964,1952-1988,1921-1955,Y,Y,,1,Christianity,97,54
sbt,Kimki,L,1,1,4,N,570,1,N,,,,N,N,,1,Christianity,65,3
kqp,Kimre,L,1,1,5,N,33600,3,N,,2007,Yes,N,Y,,1,Christianity,59,38
cbw,Kinabalian,L,1,1,4,N,15600,0,Y,,,,N,N,,1,Christianity,80,3
dmg,"Kinabatangan, Upper",L,3,1,4,N,15700,2,N,,,1984-1995,N,Y,,1,Christianity,50.54,5.89
kco,Kinalakna,L,1,1,5,N,460,1,N,,,,N,N,,1,Christianity,90,25
krj,Kinaray-A,L,1,1,5,N,581000,3,N,,2009,1982-1985,Y,Y,,1,Christianity,99,13
zga,Kinga,L,1,1,5,N,209000,3,N,,1961,2009-2010,N,N,,1,Christianity,85,14
kfk,Kinnauri,L,46,,1,Y,77400,2,N,,,1909-1917,Y,Y,,5,Hinduism,0.21,
nes,"Kinnauri, Bhoti",L,4,,1,Y,9120,1,N,,,,N,Y,,5,Hinduism,0.06,
cik,"Kinnauri, Chitkuli",L,1,,1,Y,1510,1,N,,,,N,Y,,2,Buddhism,0,
kjo,"Kinnauri, Pahari",L,2,,1,Y,20,1,N,,,,Y,Y,,8,Other / Small,0,
knq,Kintaq,L,2,2,1,Y,260,0,Y,,,,N,N,,4,Ethnic Religions,3.17,0.46
kkd,Kinuku,L,1,1,1,Y,1510,1,N,,,,N,Y,,4,Ethnic Religions,5,0.5
kin,Kinyarwanda,L,18,9,5,N,13369000,4,Y,1954-1993,1931-1989,1914-1986,Y,Y,430,1,Christianity,88.63,25.57
ues,Kioko,L,1,1,1,Y,1400,0,Y,,,,N,N,,6,Islam,0,0
kkm,Kiong,N,1,1,4,N,140,0,Y,,,,N,N,,1,Christianity,80,9
xko,Kiorr,L,2,2,1,Y,16000,0,Y,,,,N,N,,2,Buddhism,1,0.45
kio,Kiowa,N,1,1,4,N,10200,0,Y,,,,N,Y,,1,Christianity,60,7
pkb,Kipfokomo,L,1,1,5,N,110000,3,N,,2003-2004,2007,Y,Y,,6,Islam,25,18
sgc,Kipsigis,L,1,1,5,N,2216000,0,Y,,,,N,Y,,1,Christianity,97,55
kyi,Kiput,L,1,1,2,N,2930,0,Y,,,,N,N,,1,Christianity,65,1
kkr,Kir-Balar,L,1,1,4,N,5330,1,N,,,,N,N,,6,Islam,10,3
geb,Kire,L,1,1,5,N,3350,3,N,,2002,1992,N,Y,1371,1,Christianity,90,20
gil,Kiribati,L,7,7,4,N,126000,4,N,1893-1954,1873-2004,1864-1895,Y,Y,,1,Christianity,98.6,8.58
okr,Kirike,L,1,1,5,N,420000,3,N,,2001,1979-1991,Y,Y,,1,Christianity,98,32
kiy,Kirikiri,L,1,1,4,N,440,1,N,,,,N,N,,1,Christianity,72,5
fkk,Kirya-Konzel,L,1,1,3,N,6670,0,Y,,,,N,N,,4,Ethnic Religions,25,2
kis,Kis,L,1,1,5,N,330,1,N,,,,N,Y,,1,Christianity,95,21
xis,Kisan,L,,,,N,,0,,,,,Y,N,,,,,
kqh,Kisankasa,L,1,1,1,Y,10800,0,Y,,,,N,N,,4,Ethnic Religions,3,1
kje,Kisar,L,1,1,4,N,27200,3,N,,2008,1997,N,Y,948,1,Christianity,98,7
kiz,Kisi,L,1,1,4,N,28300,1,N,,,,N,N,,4,Ethnic Religions,45,10
kss,"Kisi, Southern",L,2,2,4,N,282000,3,N,,1991,1982-1987,Y,Y,811,4,Ethnic Religions,11,3
kqs,"Kissi, Northern",L,2,2,4,N,645000,4,N,2010,1966-1986,1935-1968,Y,Y,1394,4,Ethnic Religions,30.2,8.3
gru,Kistane,L,1,1,4,N,180000,1,N,,,,Y,Y,,1,Christianity,90,7
thk,Kitharaka,L,1,1,5,N,203000,3,N,,2000-2002,1934-1996,Y,Y,,4,Ethnic Religions,43,22
gia,Kitja,L,1,1,5,N,250,2,Y,,,1978,N,Y,,4,Ethnic Religions,45,45
kii,Kitsai,N,,,,N,,1,N,,,,N,N,,,,,
ktu,Kituba,L,2,2,5,N,9789000,4,N,1990,1950-1973,1934-1968,Y,Y,,1,Christianity,83.79,18.99
mkw,Kituba,L,1,1,5,N,1562000,3,N,,2005,1989,Y,Y,,1,Christianity,95.2,20.5
wei,Kiunum,L,1,1,5,N,730,2,N,,,2009,N,N,,1,Christianity,95,21
kiw,"Kiwai, Northeast",L,1,1,5,N,6880,2,N,,,1987,Y,Y,,1,Christianity,99,32
kjd,"Kiwai, Southern",L,1,1,5,N,18900,3,N,,1960,1911-1927,N,Y,,1,Christianity,97,19
mlk,Kiwilwana,L,1,1,4,N,19400,1,N,,,,N,Y,,6,Islam,15,6
lda,Kla-Dan,L,2,2,4,N,29200,0,Y,,,,N,N,,4,Ethnic Religions,24.78,4.04
kla,Klamath-Modoc,N,,,,N,,1,N,,,,N,Y,,,,,
klu,Klao,L,4,4,5,N,309000,4,N,2011,1999,1921-1989,Y,Y,,1,Christianity,82.58,16.9
kyo,Klon,L,1,1,4,N,5640,1,N,,,,N,Y,,1,Christianity,55,4
fuj,Ko,L,1,1,1,Y,6250,0,Y,,,,N,N,,6,Islam,0,0
kib,Koalib,L,2,1,4,N,134000,3,N,,1967-1994,1937-1989,N,Y,,1,Christianity,44.42,2.54
cku,Koasati,L,1,1,4,N,700,2,Y,,,1981,N,Y,,1,Christianity,65,3
kpd,Koba,L,1,1,4,N,940,1,N,,,,N,N,,6,Islam,30,5
kcj,Kobiana,L,2,2,3,N,1300,1,N,,,,N,Y,,4,Ethnic Religions,9.33,1
kgu,Kobol,L,1,1,5,N,1070,1,N,,,,N,N,,1,Christianity,100,28
kpw,Kobon,L,1,1,5,N,12500,3,N,,2005-2008,1988,N,Y,,1,Christianity,98,29
kdq,Koch,L,24,,1,Y,170000,1,N,,,,N,Y,,5,Hinduism,0.39,
cdz,Koda,L,71,,2,N,39000,1,N,,,,N,N,,5,Hinduism,4.32,
ksz,Kodaku,L,,,,N,,1,N,,,,Y,N,,,,,
kfa,Kodava,L,76,,1,Y,122000,1,N,,,,N,Y,,5,Hinduism,1.06,
vko,Kodeoha,L,1,1,1,Y,2160,0,Y,,,,N,N,,6,Islam,3,1
kod,Kodi,L,1,1,4,N,24600,1,N,,,,N,Y,,4,Ethnic Religions,9,3.77
kwp,Kodia,L,1,1,5,N,1390,0,Y,,,,N,N,,1,Christianity,80,11
kcs,Koenoem,L,1,1,4,N,9280,1,N,,,,N,Y,,4,Ethnic Religions,35,5.66
kso,Kofa,L,1,1,1,Y,1390,1,N,,,,N,N,,4,Ethnic Religions,0,0
kpi,Kofei,L,1,1,4,N,130,0,Y,,,,N,N,,1,Christianity,70,4
kwl,Kofyar,L,1,1,4,N,175000,1,N,,,,N,Y,,4,Ethnic Religions,17,3
kog,Kogi,L,1,1,1,Y,12100,2,N,,,2000-2006,N,Y,,4,Ethnic Religions,1.6,1.6
kkx,Kohin,L,1,1,4,N,9780,0,Y,,,,N,N,,4,Ethnic Religions,25,3
mvy,"Kohistani, Indus",L,24,,1,Y,348000,1,N,,,,N,Y,,6,Islam,0,
kpm,Koho,L,1,1,5,N,183000,4,N,2013,1967,1950-1993,N,Y,,1,Christianity,75,39.58
bcs,Kohumono,L,1,1,5,N,53400,1,N,,,,N,Y,,1,Christianity,92,14
kkt,Koi,L,2,,1,Y,1380,1,N,,,,N,N,,8,Other / Small,0,
kpx,"Koiali, Mountain",L,1,1,5,N,5370,3,N,,1981,1974,N,Y,1074,1,Christianity,95,26
kbk,"Koiari, Grass",L,1,1,5,N,2530,1,N,,,,N,N,,1,Christianity,90,21
nkd,Koireng,L,3,,3,N,6690,2,N,,,1997-2000,N,N,,1,Christianity,97.8,
kqi,Koitabu,L,1,1,5,N,4020,1,N,,,,N,Y,,1,Christianity,90,27
kxt,Koiwat,L,1,1,5,N,1070,1,N,,,,N,N,,1,Christianity,85,20
trp,Kok Borok,L,95,,3,N,1231000,4,N,1998,1976,1959-1983,Y,Y,,5,Hinduism,9.59,
nxk,Kokak,L,1,1,4,N,2360,1,N,,,,N,N,,2,Buddhism,15,3
ktd,Kokata,N,,,,N,,0,Y,,,,N,N,,,,,
kou,Koke,L,1,1,5,N,1650,0,Y,,,,N,N,,4,Ethnic Religions,49,30
xod,Kokoda,L,1,1,4,N,5330,0,Y,,,,N,Y,,1,Christianity,65,5
kzn,Kokola,L,2,2,4,N,418000,0,Y,,,,N,N,,1,Christianity,60,7
kkk,Kokota,L,1,1,5,N,780,1,N,,,,N,Y,,1,Christianity,95,16
biw,Kol,L,1,1,2,N,27100,1,N,,,,N,N,,1,Christianity,70,2
ekl,Kol,L,,,,N,,1,N,,,,N,N,,,,,
kol,Kol,L,1,1,4,N,8000,1,N,,,,N,Y,,1,Christianity,100,10
kvv,Kola,L,1,1,3,N,8030,2,N,,,2004-2010,N,Y,,6,Islam,15,1
kfb,"Kolami, Northwestern",L,33,,1,Y,188000,3,N,,2006,Yes,Y,Y,,5,Hinduism,0.18,
nit,"Kolami, Southeastern",L,7,,1,Y,80,2,N,,,Yes,N,Y,,5,Hinduism,0,
klc,Kolbila,L,1,1,4,N,4410,2,N,,,1982-1985,N,N,,6,Islam,40,4
gjk,"Koli, Kachi",L,35,,1,Y,182000,3,N,,2002,1834-1995,N,Y,,6,Islam,0.09,
kvx,"Koli, Parkari",L,78,,1,Y,268000,3,N,,1996,Yes,N,Y,,6,Islam,0.01,
kxp,"Koli, Wadiyara",L,55,,1,Y,162000,1,N,,,,N,Y,,6,Islam,0.05,
ksh,Kolsch,L,1,1,2,N,280000,2,Y,,,1992,N,Y,,1,Christianity,65,2
klx,Koluwawa,L,1,1,5,N,1470,2,N,,,2000-2010,N,Y,,1,Christianity,85,22
bkm,Kom,L,1,1,4,N,325000,3,N,,2004,1998-2001,Y,Y,,1,Christianity,73,9
kmm,Kom,L,31,,3,N,21400,4,N,1996,1977-1996,1954-1960,N,Y,,1,Christianity,98.54,
kmy,Koma,L,2,2,4,N,63800,1,N,,,,N,Y,,4,Ethnic Religions,34.78,7.23
kpf,Komba,L,1,1,5,N,22300,3,N,,1980,1974,N,N,1238,1,Christianity,98,22
tyn,Kombai,L,1,1,4,N,5800,1,N,,,,N,N,,1,Christianity,60,3
nui,Kombe,L,1,1,4,N,11100,3,N,,1940-1975,1958,N,N,,1,Christianity,100,8
xbi,Kombio,L,1,1,5,N,4100,2,Y,,,1999-2001,N,Y,1299,1,Christianity,90,18
kge,Komering,L,2,1,1,Y,630000,1,N,,,,Y,Y,,6,Islam,0.06,0.02
koi,Komi-Permyak,L,4,4,3,N,98000,2,N,,,1866-2009,Y,Y,,1,Christianity,42.97,1.19
kpv,Komi-Zyrian,L,6,5,3,N,237000,4,N,1990,1979-2007,1823-1999,Y,N,,4,Ethnic Religions,37.18,1.09
xoi,Kominimung,L,1,1,5,N,450,1,N,,,,N,N,,1,Christianity,90,22
kmw,Komo,L,1,1,5,N,687000,2,N,,,1991-1998,N,Y,,1,Christianity,95,26
xom,Komo,L,3,3,4,N,26100,2,N,,,1960-1963,N,Y,,4,Ethnic Religions,12.26,6.15
kvh,Komodo,L,1,1,1,Y,1750,1,N,,,,N,N,,6,Islam,0,0
kvp,Kompane,L,1,1,4,N,440,1,N,,,,N,N,,6,Islam,8,5
kzv,Komyandaret,L,1,1,1,Y,380,1,N,,,,N,N,,4,Ethnic Religions,0,0
kkn,Kon Keu,L,2,1,1,Y,9740,1,N,,,,N,Y,,2,Buddhism,0,0
bbo,Konabere,L,2,2,4,N,95900,4,N,2005,Yes,Yes,N,Y,,4,Ethnic Religions,19.86,9.23
kxw,Konai,L,1,1,5,N,1150,2,N,,,2005,N,Y,,4,Ethnic Religions,45,17
knd,Konda,L,1,1,4,N,750,0,Y,,,,N,Y,,1,Christianity,60,5
kfc,Konda-Dora,L,,,,N,,3,N,,2006,Yes,Y,Y,,,,,
kdw,Koneraw,L,1,1,4,N,1530,0,Y,,,,N,N,,1,Christianity,60,4
kwy,"Kongo, San Salvador",L,2,2,5,N,1466000,4,N,1916-1926,1893-1995,1888-1925,Y,N,,1,Christianity,98.57,24.9
kjc,"Konjo, Coastal",L,1,1,1,Y,219000,1,N,,,,N,Y,,6,Islam,0.5,0.23
kjk,"Konjo, Highland",L,1,1,1,Y,165000,1,N,,,,N,N,,6,Islam,5,0.06
knn,Konkani,L,326,,1,Y,5765000,4,N,1997,1970-2004,1970,Y,Y,,5,Hinduism,1.64,
gom,"Konkani, Goan",L,253,,3,N,3320000,4,N,2006,1818-1999,1821-1966,Y,Y,,5,Hinduism,22.13,
xon,Konkomba,L,2,2,4,N,1013000,4,Y,1998-2009,1997,1969,Y,Y,1150,4,Ethnic Religions,31.34,7.67
kma,Konni,L,1,1,4,N,5440,3,Y,,2004,2000,Y,Y,,4,Ethnic Religions,16,3
klk,Kono,L,1,1,4,N,8940,1,N,,,,N,Y,,1,Christianity,60,10
kno,Kono,L,1,1,3,N,278000,3,N,,2008,1919-1993,Y,Y,,4,Ethnic Religions,12,1
knu,Kono,L,1,1,3,N,168000,1,N,,,,N,Y,,4,Ethnic Religions,9,1.76
koa,Konomala,L,1,1,5,N,1800,1,N,,,,N,N,,1,Christianity,95,15
kcz,Konongo,L,1,1,5,N,118000,1,N,,,,N,N,,1,Christianity,71,13
kxc,Konso,L,2,2,5,N,363000,4,N,2009,2002,1996,Y,Y,,1,Christianity,60.77,48.55
koo,Konzo,L,2,2,5,N,1344000,2,Y,,,1914,N,Y,,1,Christianity,89,24.4
kng,Koongo,L,5,4,5,N,4578000,4,N,1905-1962,1891-1993,1885-1931,Y,Y,,1,Christianity,95.44,27.86
ozm,Koonzime,L,3,2,4,N,49400,3,N,,1998-2003,1986,N,Y,,1,Christianity,73.96,7
kqy,Koorete,L,1,1,5,N,226000,3,N,,2011,1999-2007,Y,Y,,1,Christianity,94,86
xop,Kopar,L,1,1,5,N,720,1,N,,,,N,N,,1,Christianity,90,14
opk,Kopkaka,L,1,1,4,N,500,1,N,,,,N,N,,1,Christianity,65,6
kpr,Korafe-Yegha,L,2,1,5,N,5010,3,N,,1984-2003,2009,N,Y,1072,1,Christianity,96.16,26.76
kfd,"Koraga, Korra",L,,,,N,,0,Y,,,,N,Y,,,,,
vmd,"Koraga, Mudu",L,,,,N,,0,Y,,,,N,N,,,,,
koz,Korak,L,1,1,5,N,710,0,Y,,,,N,N,,1,Christianity,90,15
kqz,Korana,N,1,1,4,N,10300,4,N,1933,,,N,N,,1,Christianity,70,10
kcy,Korandje,L,1,1,1,Y,3620,1,N,,,,N,N,,6,Islam,0,0
kor,Korean,L,47,47,5,N,80208000,4,N,1911-1993,1887-1983,1882-1961,Y,Y,86,7,Non-Religious,21.72,11.82
kvk,Korean Sign Language,L,1,1,,N,,1,N,,,,Y,N,,,,,
coe,Koreguaje,L,1,1,5,N,2310,3,N,,1991-2009,1981-1986,N,Y,,4,Ethnic Religions,20,14
okh,Koresh-e Rostam,L,,,,N,,1,N,,,,N,Y,,,,,
kfq,Korku,L,48,,1,Y,663000,2,N,,,1900-1981,Y,Y,,5,Hinduism,0.24,
vkp,Korlai Creole Portuguese,L,1,,3,N,1000,0,Y,,,,N,N,,1,Christianity,100,
jkr,Koro,L,,,,N,,1,N,,,,N,Y,,,,,
kfo,Koro,L,1,1,1,Y,56300,1,N,,,,N,Y,,6,Islam,0.5,0.1
krf,Koro,L,1,1,5,N,210,1,N,,,,N,N,,1,Christianity,100,46
kxr,Koro,L,1,1,5,N,950,1,N,,,,N,N,,1,Christianity,80,11
bqv,Koro Wachi,L,1,1,4,N,138000,1,N,,,,N,Y,,4,Ethnic Religions,15,4
kfz,Koromfe,L,2,2,3,N,293000,2,N,,,2008,N,Y,,4,Ethnic Religions,13,1
kqj,Koromira,L,1,1,5,N,3240,1,N,,,,N,Y,,1,Christianity,90,20
xkq,Koroni,L,1,1,1,Y,690,0,Y,,,,N,N,,6,Islam,0,0
krp,Korop,L,2,2,4,N,29000,1,N,,,,N,Y,,1,Christianity,77.42,7.92
ktl,Koroshi,N,1,1,1,Y,370,1,N,,,,N,N,,6,Islam,0,0
khe,Korowai,L,1,1,3,N,4140,1,N,,,,N,Y,,4,Ethnic Religions,30,2
xor,Korubo,N,1,1,1,Y,540,1,N,,,,N,N,,4,Ethnic Religions,5,0
kpq,Korupun-Sela,L,2,1,4,N,10600,3,N,,2010,1980-1985,N,N,,1,Christianity,54.29,4.37
kfp,Korwa,L,60,,1,Y,94600,1,N,,,,Y,Y,,5,Hinduism,2.27,
kpy,Koryak,L,1,1,3,N,7990,2,N,,,2006,N,N,,4,Ethnic Religions,6,0.3
kiq,Kosare,L,1,1,4,N,350,1,N,,,,N,N,,1,Christianity,64,4
kze,Kosena,L,1,1,5,N,4280,3,N,,1980,1973,N,N,1109,1,Christianity,85,16
kid,Koshin,L,1,1,5,N,1770,1,N,,,,N,Y,,1,Christianity,70,15
kos,Kosraean,L,3,3,5,N,6730,4,N,1928,Yes,1863-1876,N,Y,,1,Christianity,95.19,17.4
kfe,Kota,L,2,,1,Y,2540,1,N,,,,N,Y,,5,Hinduism,0.39,
koq,Kota,L,2,2,5,N,50400,2,N,,,1938-1948,N,N,,1,Christianity,80,20
grm,Kota Marudu Talantang,L,1,1,5,N,2500,0,Y,,,,N,N,,1,Christianity,70,21.43
eko,Koti,L,1,1,1,Y,121000,2,N,,,2005-2008,N,N,,6,Islam,1.2,1
kyf,Kouya,L,1,1,5,N,16800,3,N,,2002,1992,Y,Y,1139,4,Ethnic Religions,40,11
kqb,Kovai,L,1,1,5,N,6830,2,N,,,1993-2008,N,Y,,1,Christianity,95,30
kvc,Kove,L,1,1,5,N,13300,1,N,,,,N,N,,1,Christianity,90,16
xow,Kowaki,N,1,1,5,N,30,0,Y,,,,N,N,,1,Christianity,95,25
kwh,Kowiai,L,1,1,4,N,1000,2,N,,,1986,N,N,,6,Islam,30,3
kqd,Koy Sanjaq Surat,L,1,1,2,N,870,1,N,,,,N,N,,1,Christianity,75,1
kff,Koya,L,72,,1,Y,518000,3,N,,1997-2004,1882-1889,Y,Y,,5,Hinduism,2.63,
kga,Koyaga,L,1,1,1,Y,82100,1,N,,,,N,Y,,6,Islam,0.5,0.1
koh,Koyo,L,1,1,4,N,1190,1,N,,,,N,Y,,1,Christianity,95,3
koy,Koyukon,N,1,1,4,N,2770,2,N,,,1974-1982,N,N,,1,Christianity,75,6
kuw,Kpagua,L,1,1,4,N,5150,1,N,,,,N,N,,4,Ethnic Religions,30,6
kpl,Kpala,L,1,1,5,N,7300,1,N,,,,N,Y,,1,Christianity,80,16
kpk,Kpan,L,1,1,4,N,18500,1,N,,,,N,Y,,4,Ethnic Religions,18,4
pbn,Kpasham,L,1,1,4,N,27200,1,N,,,,N,Y,,4,Ethnic Religions,25,7
kym,Kpatili,L,1,1,5,N,6540,1,N,,,,N,N,,1,Christianity,60,19
cpo,Kpeego,L,1,1,1,Y,2130,0,Y,,,,N,N,,4,Ethnic Religions,4,1
gkp,"Kpelle, Guinea",L,1,1,4,N,574000,4,N,2008,,1945-1969,Y,Y,500,6,Islam,42,2.8
xpe,"Kpelle, Liberia",L,1,1,5,N,938000,3,N,,1967,1922-1964,Y,Y,,4,Ethnic Religions,38,20
kef,Kpessi,L,1,1,4,N,5390,0,Y,,,,N,Y,,4,Ethnic Religions,16,6
kph,Kplang,L,1,1,5,N,2290,0,Y,,,,N,Y,,1,Christianity,65,19
kye,Krache,L,2,2,5,N,86400,1,N,,,,N,Y,,1,Christianity,65.3,14.51
kqo,"Krahn, Eastern",L,2,2,4,N,79700,3,Y,,1996,1953-1994,Y,Y,,1,Christianity,52.93,6.42
krw,"Krahn, Western",L,2,2,4,N,89900,3,Y,,1992-1995,Yes,N,Y,,4,Ethnic Religions,15.62,2.82
xra,Kraho,L,1,1,3,N,2530,1,N,,,,N,Y,,4,Ethnic Religions,40,1
rka,Kraol,L,2,1,3,N,5470,1,N,,,,N,N,,4,Ethnic Religions,6.81,0.13
kqq,Krenak,N,1,1,3,N,380,0,Y,,,,N,N,,4,Ethnic Religions,10,1
xri,Krikati-Timbira,L,1,1,3,N,740,1,N,,,,N,Y,,4,Ethnic Religions,35,2
krm,Krim,N,1,1,3,N,14600,0,Y,,,,N,Y,,4,Ethnic Religions,8,2
jct,Krimchak,N,2,2,1,Y,2330,0,Y,,,,N,N,,4,Ethnic Religions,0,0
kri,Krio,L,7,7,4,N,816000,3,N,,1986-1992,1987-1992,Y,Y,,1,Christianity,46.68,5
rop,Kriol,L,1,1,5,N,4410,4,N,2007,1991,1981-1991,N,Y,1362,1,Christianity,90,30
kxb,Krobu,L,1,1,4,N,16400,0,Y,,,,N,Y,,1,Christianity,95,3
kgo,Krongo,L,1,1,1,Y,50500,3,N,,1963-1979,1934-1943,N,Y,,4,Ethnic Religions,3,0.5
krr,Kru'ng 2,L,1,1,1,Y,24100,2,N,,,Yes,N,Y,,4,Ethnic Religions,1,0.75
ktj,"Krumen, Plapo",L,1,1,2,N,140,3,N,,2003,Yes,Y,N,,1,Christianity,61,2
pye,"Krumen, Pye",L,1,1,4,N,33400,1,N,,,,N,N,,4,Ethnic Religions,40,8
ted,"Krumen, Tepo",L,2,2,4,N,50700,3,N,,1995,1921-1981,Y,Y,1317,1,Christianity,75.38,4.26
kry,Kryts,L,1,1,1,Y,5680,1,N,,,,N,N,,6,Islam,0,0
tyu,Kua,L,2,2,3,N,5720,1,N,,,,N,N,,4,Ethnic Religions,10,1
ykn,Kua-nsi,L,1,1,1,Y,5300,1,N,,,,N,N,,4,Ethnic Religions,3,1
yku,Kuamasi,L,1,1,1,Y,1050,1,N,,,,N,N,,4,Ethnic Religions,1,0.5
uan,Kuan,L,1,1,1,Y,3760,0,Y,,,,N,N,,4,Ethnic Religions,0,0
xnh,Kuanhua,L,1,1,1,Y,1220,0,Y,,,,N,N,,4,Ethnic Religions,3,1
ksd,Kuanua,L,1,1,5,N,122000,4,N,1983,1901-1962,1885-1931,N,Y,,1,Christianity,99,16
kgf,Kube,L,1,1,5,N,11200,3,N,,2007,2007,N,N,1301,1,Christianity,95,27
kof,Kubi,N,,,,N,,1,N,,,,N,Y,,,,,
jko,Kubo,L,1,1,5,N,1800,2,N,,,1996-1999,N,N,,1,Christianity,97,24
kvb,Kubu,L,1,1,1,Y,14900,1,N,,,,N,Y,,4,Ethnic Religions,2,0.6
ruk,Kuce,L,1,1,4,N,145000,2,N,,,1924-1931,N,Y,,4,Ethnic Religions,45,5.38
lkc,Kucong,L,2,2,1,Y,50600,1,N,,,,N,N,,2,Buddhism,2,1.23
kfg,Kudiya,L,1,,1,Y,2540,0,Y,,,,N,Y,,5,Hinduism,0,
kyw,Kudmali,L,18,,1,Y,46300,1,N,,,,N,N,,5,Hinduism,0,
kov,Kudu-Camo,N,1,1,5,N,2540,0,Y,,,,N,N,,4,Ethnic Religions,25,12
kow,Kugama,L,1,1,3,N,5480,1,N,,,,N,Y,,4,Ethnic Religions,10,0.6
kes,Kugbo,L,1,1,4,N,5810,1,N,,,,N,N,,1,Christianity,65,5
sbs,Kuhane,L,3,3,4,N,58400,1,N,,,,N,Y,,4,Ethnic Religions,41.89,5.13
kvd,Kui,L,1,1,4,N,2660,1,N,,,,N,Y,,1,Christianity,55,3
kxu,Kui,L,141,,3,N,888000,4,N,2006,1954-2002,1893-1965,Y,Y,,5,Hinduism,13.84,
dkr,Kuijau,L,2,2,4,N,21100,0,Y,,,,N,N,,4,Ethnic Religions,22.61,5.04
kui,Kuikuro-Kalapalo,L,1,1,1,Y,620,1,N,,,,Y,Y,,4,Ethnic Religions,0,0
vkj,Kujarge,L,1,1,1,Y,3710,1,N,,,,N,N,,6,Islam,0.1,0.05
kfn,Kuk,L,1,1,4,N,2750,1,N,,,,N,N,,1,Christianity,72,3
cod,Kukama-Kukamiria,N,2,2,3,N,12400,2,Y,,,1961-1967,N,Y,,4,Ethnic Religions,14.76,0.59
kux,Kukatja,L,1,1,3,N,520,0,Y,,,,N,N,,4,Ethnic Religions,40,2
ght,Kuke,L,,,,N,,1,N,,,,N,N,,,,,
kez,Kukele,L,1,1,5,N,210000,3,N,,1979,1974,Y,Y,,1,Christianity,97,29
kex,Kukna,L,3,,1,Y,763000,3,N,,1977-2002,1970-1997,Y,Y,,5,Hinduism,1.07,
xmh,Kuku-Muminh,N,1,1,4,N,60,0,Y,,,,N,Y,,1,Christianity,60,10
uwa,Kuku-Uwanh,N,1,1,4,N,70,0,Y,,,,N,N,,1,Christianity,60,10
gvn,Kuku-Yalanji,L,1,1,5,N,430,3,N,,1985,1967,N,Y,,4,Ethnic Religions,50,20
tpg,Kula,L,1,1,4,N,6610,1,N,,,,N,N,,1,Christianity,55,8
kzc,"Kulango, Bondoukou",L,2,2,4,N,166000,3,N,,1975-1995,1967-1989,N,Y,,4,Ethnic Religions,7.95,2.94
nku,"Kulango, Bouna",L,2,2,3,N,265000,1,N,,,,N,Y,,4,Ethnic Religions,6.38,1.5
kul,Kulere,L,1,1,5,N,26400,1,N,,,,N,Y,,1,Christianity,81,18
kxj,Kulfa,L,1,1,5,N,10800,1,N,,,,N,Y,,4,Ethnic Religions,25,20
cul,Kulina,L,2,2,3,N,4360,2,N,,,1965-2003,N,Y,,4,Ethnic Religions,10.54,1.89
xpk,Kulina Pano,N,,,,N,,0,Y,,,,N,N,,,,,
vkl,Kulisusu,L,1,1,1,Y,24100,1,N,,,,N,Y,,6,Islam,0,0
uun,Kulon-Pazeh,N,,,,N,,1,N,,,,N,N,,,,,
