"ROL3","Language","ROG3","EditName","EditDate"
"mcg","Mapoyo","VE","BM",9/17/2008 0:00:00
"mch","Maquiritari","VE","BM",6/27/2013 0:00:00
"mci","Mesem","PP","BM",6/27/2013 0:00:00
"mcj","Mvanip","NI","BM",9/17/2008 0:00:00
"mck","Mbunda","ZA","BM",6/27/2013 0:00:00
"mcl","Macaguaje","CO","BM",5/31/2013 0:00:00
"mcm","Malaccan Creole Portuguese","MY","BM",12/17/2010 0:00:00
"mcn","Masana","CD","BM",6/27/2013 0:00:00
"mco","Mixe, Coatlan","MX","BM",6/27/2013 0:00:00
"mcp","Makaa","CM","BM",6/27/2013 0:00:00
"mcq","Ese","PP","BM",6/27/2013 0:00:00
"mcr","Menya","PP","BM",6/27/2013 0:00:00
"mcs","Mambai","CM","BM",6/27/2013 0:00:00
"mct","Mengisa","CM","BM",9/17/2008 0:00:00
"mcu","Mambila, Cameroon","CM","BM",6/27/2013 0:00:00
"mcv","Minanibai","PP","BM",9/17/2008 0:00:00
"mcw","Mawa","CD","BM",9/17/2008 0:00:00
"mcx","Mpiemo","CT","BM",9/17/2008 0:00:00
"mcy","Watut, South","PP","BM",9/17/2008 0:00:00
"mcz","Mawan","PP","BM",9/17/2008 0:00:00
"mda","Mada","NI","BM",12/17/2010 0:00:00
"mdb","Morigi","PP","BM",9/17/2008 0:00:00
"mdc","Male","PP","BM",9/17/2008 0:00:00
"mdd","Mbum","CM","BM",6/27/2013 0:00:00
"mde","Maba","CD","BM",9/17/2008 0:00:00
"mdf","Moksha","RS","BM",6/27/2013 0:00:00
"mdg","Massalat","CD","BM",9/17/2008 0:00:00
"mdh","Maguindanaon","RP","BM",6/27/2013 0:00:00
"mdi","Mamvu","CG","BM",12/17/2010 0:00:00
"mdj","Mangbetu","CG","BM",6/27/2013 0:00:00
"mdk","Mangbutu","CG","BM",9/17/2008 0:00:00
"mdl","Maltese Sign Language","MT","BM",9/17/2008 0:00:00
"mdm","Mayogo","CG","BM",6/27/2013 0:00:00
"mdn","Mbati","CT","BM",9/17/2008 0:00:00
"mdp","Mbala","CG","BM",6/27/2013 0:00:00
"mdq","Mbole","CG","BM",9/17/2008 0:00:00
"mdr","Mandar","ID","BM",9/17/2008 0:00:00
"mds","Maria","PP","BM",9/17/2008 0:00:00
"mdt","Mbere","CF","BM",9/17/2008 0:00:00
"mdu","Mboko","CF","BM",9/17/2008 0:00:00
"mdv","Mixtec, Santa Lucia Monteverde","MX","BM",6/27/2013 0:00:00
"mdw","Mbosi","CF","BM",9/17/2008 0:00:00
"mdx","Dizin","ET","BM",5/9/2016 0:00:00
"mdy","Male","ET","BM",9/17/2008 0:00:00
"mdz","Surui Do Para","BR","BM",9/17/2008 0:00:00
"mea","Menka","CM","BM",9/17/2008 0:00:00
"meb","Ikobi","PP","BM",5/16/2013 0:00:00
"mec","Mara","AS","BM",9/17/2008 0:00:00
"med","Melpa","PP","BM",6/27/2013 0:00:00
"mee","Mengen","PP","BM",12/17/2010 0:00:00
"mef","Megam","BG","BM",9/17/2008 0:00:00
"meh","Mixtec, Southwestern Tlaxiaco","MX","BM",6/27/2013 0:00:00
"mei","Midob","SU","BM",9/17/2008 0:00:00
"mej","Meyah","ID","BM",6/27/2013 0:00:00
"mek","Mekeo","PP","BM",6/27/2013 0:00:00
"mel","Melanau, Central","MY","BM",9/17/2008 0:00:00
"mem","Mangala","AS","BM",9/17/2008 0:00:00
"men","Mende","SL","BM",6/27/2013 0:00:00
"meo","Malay, Kedah","MY","BM",9/17/2008 0:00:00
"mep","Miriwung","AS","BM",9/17/2008 0:00:00
"meq","Merey","CM","BM",6/27/2013 0:00:00
"mer","Kimiiru","KE","BM",6/27/2013 0:00:00
"mes","Masmaje","CD","BM",9/17/2008 0:00:00
"met","Mato","PP","BM",9/17/2008 0:00:00
"meu","Motu","PP","BM",6/27/2013 0:00:00
"mev","Mano","LI","BM",6/27/2013 0:00:00
"mew","Maaka","NI","BM",9/17/2008 0:00:00
"mey","Hassaniyya","MR","BM",9/17/2008 0:00:00
"mez","Menominee","US","BM",9/17/2008 0:00:00
"mfa","Malay, Pattani","TH","BM",12/17/2010 0:00:00
"mfb","Bangka","ID","BM",9/17/2008 0:00:00
"mfc","Mba","CG","BM",9/17/2008 0:00:00
"mfd","Mendankwe-Nkwen","CM","BM",9/17/2008 0:00:00
"mfe","Morisyen","MP","BM",6/27/2013 0:00:00
"mff","Naki","CM","BM",9/17/2008 0:00:00
"mfg","Mogofin","GV","BM",5/16/2013 0:00:00
"mfh","Matal","CM","BM",12/17/2010 0:00:00
"mfi","Wandala","CM","BM",12/17/2010 0:00:00
"mfj","Mefele","CM","BM",9/17/2008 0:00:00
"mfk","Mofu, North","CM","BM",12/17/2010 0:00:00
"mfl","Putai","NI","BM",9/17/2008 0:00:00
"mfm","Marghi South","NI","BM",9/17/2008 0:00:00
"mfn","Mbembe, Cross River","NI","BM",12/17/2010 0:00:00
"mfo","Mbe","NI","BM",12/17/2010 0:00:00
"mfp","Malay, Makassar","ID","BM",9/17/2008 0:00:00
"mfq","Moba","TO","BM",6/27/2013 0:00:00
"mfr","Marithiel","AS","BM",9/17/2008 0:00:00
"mfs","Mexican Sign Language","MX","BM",4/18/2013 0:00:00
"mft","Mokerang","PP","BM",9/17/2008 0:00:00
"mfu","Mbwela","AO","BM",9/17/2008 0:00:00
"mfv","Mandjak","PU","BM",12/17/2010 0:00:00
"mfx","Melo","ET","BM",9/17/2008 0:00:00
"mfy","Mayo","MX","BM",6/27/2013 0:00:00
"mfz","Mabaan","OD","BM",6/27/2013 0:00:00
"mgb","Mararit","CD","BM",9/17/2008 0:00:00
"mgc","Morokodo","OD","BM",9/17/2008 0:00:00
"mgd","Moru","OD","BM",6/27/2013 0:00:00
"mge","Mango","CD","BM",12/17/2010 0:00:00
"mgf","Maklew","ID","BM",9/17/2008 0:00:00
"mgg","Mpumpong","CM","BM",5/16/2013 0:00:00
"mgh","Makhuwa-Meetto","MZ","BM",6/27/2013 0:00:00
"mgi","Lijili","NI","BM",12/17/2010 0:00:00
"mgj","Abureni","NI","BM",9/17/2008 0:00:00
"mgk","Mawes","ID","BM",9/17/2008 0:00:00
"mgl","Maleu-Kilenge","PP","BM",12/17/2010 0:00:00
"mgm","Mambae","TT","BM",9/17/2008 0:00:00
"mgn","Mbangi","CT","BM",9/17/2008 0:00:00
"mgo","Meta'","CM","BM",6/29/2015 0:00:00
"mgp","Magar, Eastern","NP","BM",6/27/2013 0:00:00
"mgq","Malila","TZ","BM",6/27/2013 0:00:00
"mgr","Mambwe-Lungu","ZA","BM",6/27/2013 0:00:00
"mgs","Manda","TZ","BM",6/27/2013 0:00:00
"mgt","Mongol","PP","BM",9/17/2008 0:00:00
"mgu","Mailu","PP","BM",6/27/2013 0:00:00
"mgv","Matengo","TZ","BM",9/17/2008 0:00:00
"mgw","Matumbi","TZ","BM",9/17/2008 0:00:00
"mgy","Mbunga","TZ","BM",9/17/2008 0:00:00
"mgz","Mbugwe","TZ","BM",9/17/2008 0:00:00
"mha","Manda","IN","BM",9/17/2008 0:00:00
"mhb","Mahongwe","GB","BM",9/17/2008 0:00:00
"mhc","Mocho","MX","BM",9/17/2008 0:00:00
"mhd","Mbugu","TZ","BM",9/17/2008 0:00:00
"mhe","Mah Meri","MY","BM",12/17/2010 0:00:00
"mhf","Mamaa","PP","BM",9/17/2008 0:00:00
"mhg","Margu","AS","BM",9/17/2008 0:00:00
"mhi","Ma'di","UG","BM",6/27/2013 0:00:00
"mhj","Mogholi","AF","BM",9/17/2008 0:00:00
"mhk","Mungaka","CM","BM",6/27/2013 0:00:00
"mhl","Mauwake","PP","BM",6/27/2013 0:00:00
"mhm","Makhuwa-Moniga","MZ","BM",9/17/2008 0:00:00
"mhn","Mocheno","IT","BM",9/17/2008 0:00:00
"mho","Mashi","ZA","BM",9/17/2008 0:00:00
"mhp","Malay, Balinese","ID","BM",9/17/2008 0:00:00
"mhq","Mandan","US","BM",9/17/2008 0:00:00
"mhr","Mari, Meadow","RS","BM",6/27/2013 0:00:00
"mhs","Buru","ID","BM",6/27/2013 0:00:00
"mht","Mandahuaca","VE","BM",9/17/2008 0:00:00
"mhu","Digaro-Mishmi","IN","BM",9/17/2008 0:00:00
"mhw","Mbukushu","WA","BM",6/27/2013 0:00:00
"mhx","Lhao Vo","BM","BM",6/27/2013 0:00:00
"mhy","Ma'anyan","ID","BM",5/16/2013 0:00:00
"mhz","Mor","ID","BM",9/17/2008 0:00:00
"mia","Miami","US","BM",9/17/2008 0:00:00
"mib","Mixtec, Atatlahuca","MX","BM",6/27/2013 0:00:00
"mic","Micmac","CA","BM",6/27/2013 0:00:00
"mid","Mandaic","IZ","BM",9/17/2008 0:00:00
"mie","Mixtec, Ocotepec","MX","BM",6/27/2013 0:00:00
"mif","Mofu-Gudur","CM","BM",6/27/2013 0:00:00
"mig","Mixtec, San Miguel el Grande","MX","BM",6/27/2013 0:00:00
"mih","Mixtec, Chayuco","MX","BM",6/27/2013 0:00:00
"mii","Mixtec, Chigmecatitlan","MX","BM",9/17/2008 0:00:00
"mij","Mungbam","CM","BM",5/16/2013 0:00:00
"mik","Mikasuki","US","BM",6/27/2013 0:00:00
"mil","Mixtec, Penoles","MX","BM",6/27/2013 0:00:00
"mim","Mixtec, Alacatlatzala","MX","BM",6/27/2013 0:00:00
"min","Minangkabau","ID","BM",6/27/2013 0:00:00
"mio","Mixtec, Pinotepa Nacional","MX","BM",6/27/2013 0:00:00
"mip","Mixtec, Apasco-Apoala","MX","BM",12/17/2010 0:00:00
"miq","Miskito","NU","BM",6/27/2013 0:00:00
"mir","Mixe, Isthmus","MX","BM",6/27/2013 0:00:00
"mit","Mixtec, Southern Puebla","MX","BM",6/27/2013 0:00:00
"miu","Mixtec, Cacaloxtepec","MX","BM",12/17/2010 0:00:00
"miw","Akoye","PP","BM",6/27/2013 0:00:00
"mix","Mixtec, Mixtepec","MX","BM",6/27/2013 0:00:00
"miy","Mixtec, Ayutla","MX","BM",6/27/2013 0:00:00
"miz","Mixtec, Coatzospan","MX","BM",6/27/2013 0:00:00
"mjb","Makalero","TT","BM",7/26/2016 0:00:00
"mjc","Mixtec, San Juan Colorado","MX","BM",6/27/2013 0:00:00
"mjd","Maidu, Northwest","US","BM",9/17/2008 0:00:00
"mjg","Tu","CH","BM",9/17/2008 0:00:00
"mjh","Mwera","TZ","BM",9/17/2008 0:00:00
"mji","Kim Mun","CH","BM",9/17/2008 0:00:00
"mjj","Mawak","PP","BM",9/17/2008 0:00:00
"mjk","Matukar","PP","BM",9/17/2008 0:00:00
"mjl","Mandeali","IN","BM",12/17/2010 0:00:00
"mjm","Medebur","PP","BM",9/17/2008 0:00:00
"mjn","Ma","PP","BM",9/17/2008 0:00:00
"mjo","Malankuravan","IN","BM",9/17/2008 0:00:00
"mjp","Malapandaram","IN","BM",9/17/2008 0:00:00
"mjq","Malaryan","IN","BM",5/31/2013 0:00:00
"mjr","Malavedan","IN","BM",9/17/2008 0:00:00
"mjs","Miship","NI","BM",9/17/2008 0:00:00
"mjt","Sauria Paharia","IN","BM",6/27/2013 0:00:00
"mju","Manna-Dora","IN","BM",9/17/2008 0:00:00
"mjv","Mannan","IN","BM",2/20/2014 0:00:00
"mjw","Karbi","IN","BM",6/27/2013 0:00:00
"mjx","Mahali","IN","BM",9/17/2008 0:00:00
"mjz","Majhi","NP","BM",9/17/2008 0:00:00
"mka","Mbre","IV","BM",9/17/2008 0:00:00
"mkb","Mal Paharia","IN","BM",12/17/2010 0:00:00
"mkc","Siliput","PP","BM",9/17/2008 0:00:00
"mkd","Macedonian","MK","BM",6/27/2013 0:00:00
"mke","Mawchi","IN","BM",6/27/2013 0:00:00
"mkf","Miya","NI","BM",9/17/2008 0:00:00
"mkg","Mak","CH","BM",9/17/2008 0:00:00
"mki","Dhatki","PK","BM",6/27/2013 0:00:00
"mkj","Mokilese","FM","BM",9/17/2008 0:00:00
"mkk","Byep","CM","BM",9/17/2008 0:00:00
"mkl","Mokole","BN","BM",6/27/2013 0:00:00
"mkm","Moklen","TH","BM",9/17/2008 0:00:00
"mkn","Malay, Kupang","ID","BM",6/27/2013 0:00:00
"mko","Mingang Doso","NI","BM",9/17/2008 0:00:00
"mkp","Moikodi","PP","BM",9/17/2008 0:00:00
"mkr","Malas","PP","BM",9/17/2008 0:00:00
"mks","Mixtec, Silacayoapan","MX","BM",6/27/2013 0:00:00
"mkt","Vamale","NC","BM",9/17/2008 0:00:00
"mku","Maninka, Konyanka","GV","BM",9/17/2008 0:00:00
"mkv","Mafea","NH","BM",9/17/2008 0:00:00
"mkw","Kituba","CF","BM",6/27/2013 0:00:00
"mkx","Manobo, Kinamiging","RP","BM",5/16/2013 0:00:00
"mky","Makian, East","ID","BM",9/17/2008 0:00:00
"mkz","Makasae","TT","BM",9/17/2008 0:00:00
"mla","Malo","NH","BM",6/27/2013 0:00:00
"mlb","Mbule","CM","BM",9/17/2008 0:00:00
"mlc","Cao Lan","VM","BM",9/17/2008 0:00:00
"mle","Manambu","PP","BM",12/17/2010 0:00:00
"mlf","Mal","LA","BM",12/17/2010 0:00:00
"mlh","Mape","PP","BM",12/17/2010 0:00:00
"mli","Malimpung","ID","BM",9/17/2008 0:00:00
"mlj","Miltu","CD","BM",9/17/2008 0:00:00
"mlk","Kiwilwana","KE","BM",9/17/2008 0:00:00
"mll","Malua Bay","NH","BM",9/17/2008 0:00:00
"mlm","Mulam","CH","BM",9/17/2008 0:00:00
"mln","Malango","BP","BM",9/17/2008 0:00:00
"mlo","Mlomp","SG","BM",9/17/2008 0:00:00
"mlp","Bargam","PP","BM",6/27/2013 0:00:00
"mlq","Maninkakan, Western","SG","BM",6/27/2013 0:00:00
"mlr","Vame","CM","BM",12/17/2010 0:00:00
"mls","Masalit","SU","BM",9/17/2008 0:00:00
"mlt","Maltese","MT","BM",6/27/2013 0:00:00
"mlu","To'abaita","BP","BM",6/27/2013 0:00:00
"mlv","Mwotlap","NH","BM",5/16/2013 0:00:00
"mlw","Moloko","CM","BM",12/17/2010 0:00:00
"mlx","Naha'ai","NH","BM",5/16/2013 0:00:00
"mlz","Malaynon","RP","BM",9/17/2008 0:00:00
"mma","Mama","NI","BM",9/17/2008 0:00:00
"mmb","Momina","ID","BM",9/17/2008 0:00:00
"mmc","Mazahua, Michoacan","MX","BM",12/17/2010 0:00:00
"mmd","Maonan","CH","BM",9/17/2008 0:00:00
"mme","Mae","NH","BM",9/17/2008 0:00:00
"mmf","Mundat","NI","BM",9/17/2008 0:00:00
"mmg","Ambrym, North","NH","BM",9/17/2008 0:00:00
"mmh","Mehinaku","BR","BM",9/17/2008 0:00:00
"mmi","Musar","PP","BM",9/17/2008 0:00:00
"mmj","Majhwar","IN","BM",9/17/2008 0:00:00
"mmk","Mukha-Dora","IN","BM",9/17/2008 0:00:00
"mml","Man Met","CH","BM",9/17/2008 0:00:00
"mmm","Maii","NH","BM",9/17/2008 0:00:00
"mmn","Mamanwa","RP","BM",6/27/2013 0:00:00
"mmo","Buang, Mangga","PP","BM",6/27/2013 0:00:00
"mmp","Siawi","PP","BM",6/27/2013 0:00:00
"mmq","Musak","PP","BM",9/17/2008 0:00:00
"mmr","Miao, Western Xiangxi","CH","BM",9/17/2008 0:00:00
"mmt","Malalamai","PP","BM",9/17/2008 0:00:00
"mmu","Mmaala","CM","BM",12/17/2010 0:00:00
"mmv","Miriti","BR","BM",5/31/2013 0:00:00
"mmw","Emae","NH","BM",9/17/2008 0:00:00
"mmx","Madak","PP","BM",6/27/2013 0:00:00
"mmy","Migaama","CD","BM",6/27/2013 0:00:00
"mmz","Mabaale","CG","BM",9/17/2008 0:00:00
"mna","Mbula","PP","BM",6/27/2013 0:00:00
"mnb","Muna","ID","BM",12/17/2010 0:00:00
"mnc","Manchu","CH","BM",12/17/2010 0:00:00
"mnd","Monde","BR","BM",9/17/2008 0:00:00
"mne","Naba","CD","BM",9/17/2008 0:00:00
"mnf","Mundani","CM","BM",6/27/2013 0:00:00
"mng","Mnong, Eastern","VM","BM",12/17/2010 0:00:00
"mnh","Mono","CG","BM",9/17/2008 0:00:00
"mni","Meitei","IN","BM",6/27/2013 0:00:00
"mnj","Munji","AF","BM",9/17/2008 0:00:00
"mnk","Mandinka","SG","BM",11/20/2014 0:00:00
"mnl","Tiale","NH","BM",9/17/2008 0:00:00
"mnm","Mapena","PP","BM",9/17/2008 0:00:00
"mnn","Mnong, Southern","VM","BM",9/17/2008 0:00:00
"mnp","Chinese, Min Bei","CH","BM",12/17/2010 0:00:00
"mnq","Minriq","MY","BM",9/17/2008 0:00:00
"mnr","Mono","US","BM",9/17/2008 0:00:00
"mns","Mansi","RS","BM",6/27/2013 0:00:00
"mnu","Mer","ID","BM",9/17/2008 0:00:00
"mnv","Rennell-Bellona","BP","BM",6/27/2013 0:00:00
"mnw","Mon","BM","BM",6/27/2013 0:00:00
"mnx","Manikion","ID","BM",6/27/2013 0:00:00
"mny","Manyawa","MZ","BM",9/17/2008 0:00:00
"mnz","Moni","ID","BM",6/27/2013 0:00:00
"moa","Mwan","IV","BM",6/27/2013 0:00:00
"moc","Mocovi","AR","BM",6/27/2013 0:00:00
"moe","Montagnais","CA","BM",6/27/2013 0:00:00
"mog","Mongondow","ID","BM",6/27/2013 0:00:00
"moh","Mohawk","CA","BM",6/27/2013 0:00:00
"moi","Mboi","NI","BM",9/17/2008 0:00:00
"moj","Monzombo","CF","BM",9/17/2008 0:00:00
"mok","Morori","ID","BM",9/17/2008 0:00:00
"mom","Mangue","NU","BM",5/31/2013 0:00:00
"moo","Monom","VM","BM",9/17/2008 0:00:00
"mop","Maya, Mopan","BH","BM",6/27/2013 0:00:00
"moq","Mor","ID","BM",9/17/2008 0:00:00
"mor","Moro","SU","BM",6/27/2013 0:00:00
"mos","Moore","UV","BM",6/27/2013 0:00:00
"mot","Bari","CO","BM",12/17/2010 0:00:00
"mou","Mogum","CD","BM",9/17/2008 0:00:00
"mov","Mohave","US","BM",9/17/2008 0:00:00
"mow","Moi","CF","BM",9/17/2008 0:00:00
"mox","Molima","PP","BM",6/27/2013 0:00:00
"moy","Shekkacho","ET","BM",12/17/2010 0:00:00
"moz","Mukulu","CD","BM",6/27/2013 0:00:00
"mpa","Mpoto","TZ","BM",6/27/2013 0:00:00
"mpb","Mullukmulluk","AS","BM",9/17/2008 0:00:00
"mpc","Mangarayi","AS","BM",9/17/2008 0:00:00
"mpd","Machinere","BR","BM",12/17/2010 0:00:00
"mpe","Majang","ET","BM",12/17/2010 0:00:00
"mpg","Marba","CD","BM",6/27/2013 0:00:00
"mph","Maung","AS","BM",6/27/2013 0:00:00
"mpi","Mpade","CM","BM",9/17/2008 0:00:00
"mpj","Martu Wangka","AS","BM",6/27/2013 0:00:00
"mpk","Mbara","CD","BM",9/17/2008 0:00:00
"mpl","Watut, Middle","PP","BM",9/17/2008 0:00:00
"mpm","Mixtec, Yosondua","MX","BM",12/17/2010 0:00:00
"mpn","Mindiri","PP","BM",9/17/2008 0:00:00
"mpo","Miu","PP","BM",6/27/2013 0:00:00
"mpp","Migabac","PP","BM",12/17/2010 0:00:00
"mpq","Matis","BR","BM",9/17/2008 0:00:00
"mpr","Vangunu","BP","BM",9/17/2008 0:00:00
"mps","Dadibi","PP","BM",6/27/2013 0:00:00
"mpt","Mian","PP","BM",6/27/2013 0:00:00
"mpu","Makurap","BR","BM",9/17/2008 0:00:00
"mpv","Mungkip","PP","BM",9/17/2008 0:00:00
"mpw","Mapidian","BR","BM",9/17/2008 0:00:00
"mpx","Misima-Panaeati","PP","BM",6/27/2013 0:00:00
"mpy","Mapia","ID","BM",9/17/2008 0:00:00
"mpz","Mpi","TH","BM",9/17/2008 0:00:00
"mqa","Maba","ID","BM",9/17/2008 0:00:00
"mqb","Mbuko","CM","BM",6/27/2013 0:00:00
"mqc","Mangole","ID","BM",9/17/2008 0:00:00
"mqe","Matepi","PP","BM",9/17/2008 0:00:00
"mqf","Momuna","ID","BM",6/27/2013 0:00:00
"mqg","Malay, Kota Bangun Kutai","ID","BM",9/17/2008 0:00:00
"mqh","Mixtec, Tlazoyaltepec","MX","BM",9/17/2008 0:00:00
"mqi","Mariri","ID","BM",9/17/2008 0:00:00
"mqj","Mamasa","ID","BM",6/27/2013 0:00:00
"mqk","Manobo, Rajah Kabunsuwan","RP","BM",9/17/2008 0:00:00
"mql","Mbelime","BN","BM",9/17/2008 0:00:00
"mqm","Marquesan, South","FP","BM",6/27/2013 0:00:00
"mqn","Moronene","ID","BM",3/1/2010 0:00:00
"mqo","Modole","ID","BM",9/17/2008 0:00:00
"mqp","Manipa","ID","BM",9/17/2008 0:00:00
"mqq","Minokok","MY","BM",9/17/2008 0:00:00
"mqr","Mander","ID","BM",9/17/2008 0:00:00
"mqs","Makian, West","ID","BM",9/17/2008 0:00:00
"mqt","Mok","TH","BM",9/17/2008 0:00:00
"mqu","Mandari","OD","BM",9/17/2008 0:00:00
"mqv","Mosimo","PP","BM",9/17/2008 0:00:00
"mqw","Murupi","PP","BM",9/17/2008 0:00:00
"mqx","Mamuju","ID","BM",9/17/2008 0:00:00
"mqy","Manggarai","ID","BM",11/13/2014 0:00:00
"mqz","Pano","PP","BM",5/16/2013 0:00:00
"mra","Mlabri","TH","BM",9/17/2008 0:00:00
"mrb","Marino","NH","BM",9/17/2008 0:00:00
"mrc","Maricopa","US","BM",9/17/2008 0:00:00
"mrd","Magar, Western","NP","BM",9/17/2008 0:00:00
"mrf","Elseng","ID","BM",9/17/2008 0:00:00
"mrg","Mising","IN","BM",5/16/2013 0:00:00
"mrh","Chin, Mara","IN","BM",6/27/2013 0:00:00
"mri","Maori","NZ","BM",6/27/2013 0:00:00
"mrj","Mari, Hill","RS","BM",6/27/2013 0:00:00
"mrk","Hmwaveke","NC","BM",12/17/2010 0:00:00
"mrl","Mortlockese","FM","BM",6/27/2013 0:00:00
"mrm","Mwerlap","NH","BM",5/16/2013 0:00:00
"mrn","Cheke Holo","BP","BM",6/27/2013 0:00:00
"mro","Mru","BG","BM",12/17/2010 0:00:00
"mrp","Morouas","NH","BM",9/17/2008 0:00:00
"mrq","Marquesan, North","FP","BM",6/27/2013 0:00:00
"mrr","Maria","IN","BM",9/17/2008 0:00:00
"mrs","Maragus","NH","BM",9/17/2008 0:00:00
"mrt","Marghi Central","NI","BM",6/27/2013 0:00:00
"mru","Mono","CM","BM",9/17/2008 0:00:00
"mrv","Mangareva","FP","BM",12/17/2010 0:00:00
"mrw","Maranao","RP","BM",6/27/2013 0:00:00
"mrx","Dineor","ID","BM",9/17/2008 0:00:00
"mry","Mandaya","RP","BM",5/16/2013 0:00:00
"mrz","Marind","ID","BM",12/17/2010 0:00:00
"msb","Masbatenyo","RP","BM",6/27/2013 0:00:00
"msc","Maninka, Sankaran","GV","BM",9/17/2008 0:00:00
"msd","Yucatec Maya Sign Language","MX","BM",9/17/2008 0:00:00
"mse","Musey","CD","BM",6/27/2013 0:00:00
"msf","Mekwei","ID","BM",9/17/2008 0:00:00
"msg","Moraid","ID","BM",9/17/2008 0:00:00
"msh","Malagasy, Masikoro","MA","BM",6/27/2013 0:00:00
"msi","Malay, Sabah","MY","BM",9/17/2008 0:00:00
"msj","Ma","CG","BM",9/17/2008 0:00:00
"msk","Mansaka","RP","BM",6/27/2013 0:00:00
"msl","Molof","ID","BM",9/17/2008 0:00:00
"msm","Manobo, Agusan","RP","BM",6/27/2013 0:00:00
"msn","Vures","NH","BM",5/16/2013 0:00:00
"mso","Mombum","ID","BM",9/17/2008 0:00:00
"msq","Caac","NC","BM",9/17/2008 0:00:00
"msr","Mongolian Sign Language","MG","BM",9/17/2008 0:00:00
"mss","Masela, West","ID","BM",9/17/2008 0:00:00
"msu","Musom","PP","BM",9/17/2008 0:00:00
"msv","Maslam","CM","BM",9/17/2008 0:00:00
"msw","Mansoanka","PU","BM",6/27/2013 0:00:00
"msx","Moresada","PP","BM",9/17/2008 0:00:00
"msy","Aruamu","PP","BM",6/27/2013 0:00:00
"msz","Momare","PP","BM",9/17/2008 0:00:00
"mta","Manobo, Cotabato","RP","BM",6/27/2013 0:00:00
"mtb","Anyin Morofo","IV","BM",9/17/2008 0:00:00
"mtc","Munit","PP","BM",9/17/2008 0:00:00
"mtd","Mualang","ID","BM",9/17/2008 0:00:00
"mte","Mono","BP","BM",9/17/2008 0:00:00
"mtf","Murik","PP","BM",9/17/2008 0:00:00
"mtg","Una","ID","BM",6/27/2013 0:00:00
"mth","Munggui","ID","BM",9/17/2008 0:00:00
"mti","Maiwa","PP","BM",6/27/2013 0:00:00
"mtj","Moskona","ID","BM",12/17/2010 0:00:00
"mtk","Mbo'","CM","BM",5/16/2013 0:00:00
"mtl","Montol","NI","BM",9/17/2008 0:00:00
"mtn","Matagalpa","NU","BM",5/31/2013 0:00:00
"mto","Mixe, Totontepec","MX","BM",6/27/2013 0:00:00
"mtp","Wichi Lhamtes Nocten","BL","BM",12/17/2010 0:00:00
"mtq","Muong","VM","BM",12/17/2010 0:00:00
"mtr","Mewari","IN","BM",12/17/2010 0:00:00
"mts","Yora","PE","BM",12/17/2010 0:00:00
"mtt","Mota","NH","BM",6/27/2013 0:00:00
"mtu","Mixtec, Tututepec","MX","BM",9/17/2008 0:00:00
"mtv","Asaro'o","PP","BM",5/16/2013 0:00:00
"mtw","Binukidnon, Southern","RP","BM",5/16/2013 0:00:00
"mtx","Mixtec, Tidaa","MX","BM",12/17/2010 0:00:00
"mty","Nabi","PP","BM",9/17/2008 0:00:00
"mua","Mundang","CD","BM",6/27/2013 0:00:00
"mub","Mubi","CD","BM",9/17/2008 0:00:00
"muc","Ajumbu","CM","BM",5/16/2013 0:00:00
"mud","Aleut, Mednyj","RS","BM",9/17/2008 0:00:00
"mue","Media Lengua","EC","BM",9/17/2008 0:00:00
"mug","Musgu","CM","BM",12/17/2010 0:00:00
"muh","Mundu","OD","BM",6/27/2013 0:00:00
"mui","Musi","ID","BM",9/17/2008 0:00:00
"muj","Mabire","CD","BM",9/17/2008 0:00:00
"muk","Mugom","NP","BM",9/17/2008 0:00:00
"mum","Maiwala","PP","BM",9/17/2008 0:00:00
"muo","Nyong","CM","BM",9/17/2008 0:00:00
"mup","Malvi","IN","BM",12/17/2010 0:00:00
"muq","Miao, Eastern Xiangxi","CH","BM",9/17/2008 0:00:00
"mur","Murle","OD","BM",6/27/2013 0:00:00
"mus","Muskogee","US","BM",6/27/2013 0:00:00
"mut","Muria, Western","IN","BM",9/17/2008 0:00:00
"muu","Yaaku","KE","BM",9/17/2008 0:00:00
"muv","Muthuvan","IN","BM",9/17/2008 0:00:00
"mux","Bo-Ung","PP","BM",6/27/2013 0:00:00
"muy","Muyang","CM","BM",6/27/2013 0:00:00
"muz","Mursi","ET","BM",9/17/2008 0:00:00
"mva","Manam","PP","BM",12/17/2010 0:00:00
"mvb","Mattole","US","BM",5/31/2013 0:00:00
"mvd","Mamboru","ID","BM",9/17/2008 0:00:00
"mve","Marwari","PK","BM",6/27/2013 0:00:00
"mvf","Mongolian, Peripheral","CH","BM",6/27/2013 0:00:00
"mvg","Mixtec, Yucuane","MX","BM",9/17/2008 0:00:00
"mvh","Mulgi","CD","BM",5/16/2013 0:00:00
"mvi","Miyako","JA","BM",9/17/2008 0:00:00
"mvk","Mekmek","PP","BM",9/17/2008 0:00:00
"mvm","Muya","CH","BM",9/17/2008 0:00:00
"mvn","Minaveha","PP","BM",6/27/2013 0:00:00
"mvo","Marovo","BP","BM",12/17/2010 0:00:00
"mvp","Duri","ID","BM",12/17/2010 0:00:00
"mvq","Moere","PP","BM",9/17/2008 0:00:00
"mvr","Marau","ID","BM",9/17/2008 0:00:00
"mvs","Massep","ID","BM",9/17/2008 0:00:00
